id,Name,price,quantity,brand,description,size,type,color,storage
18,Aerodynamic Wool Watch,$19.99,13,Apple,Marfa ugh wes anderson gastropub chillwave semiotics pinterest disrupt. Diy roof try-hard listicle blue bottle.,,other,yellow,,shop,
19,Synergistic Concrete Watch,$71.99,12,Adidas,You probably haven't heard of them messenger bag godard yr disrupt. Readymade deep v food truck. Waistcoat vinegar umami pour-over. Freegan selvage farm-to-table pbr&b forage typewriter.,,other,burgundy,,shop,
20,Awesome Wool Bench,$41.99,10,GoPro,Venmo banh mi five dollar toast diy pinterest. Cornhole pinterest pickled skateboard meditation viral. Biodiesel drinking street fanny pack beard.,,other,tan,,shop,
21,Rustic Granite Table,$46.99,1,Sony,Taxidermy food truck hashtag leggings viral occupy direct trade. Tousled godard lumbersexual master gluten-free cardigan. Cray loko pug typewriter park sriracha thundercats trust fund.,,other,salmon,,shop,
22,Fantastic Wool Coat,$27.99,1,Sony,Blog locavore cleanse diy tote bag. Mlkshk wes anderson beard. Literally listicle beard meh.,,other,orange,,shop,
23,Enormous Cotton Gloves,$8.99,5,Nikon,Cliche kombucha banh mi bicycle rights twee muggle magic. Ethical yolo farm-to-table cronut tousled five dollar toast migas.,,other,ultramarine,,shop,
24,Aerodynamic Bronze Gloves,$61.99,13,Adidas,Narwhal 8-bit pug heirloom single-origin coffee before they sold out. Portland umami hammock. Bespoke williamsburg meggings squid. Vinyl readymade wayfarers.,,other,fuchsia,,shop,
25,Incredible Paper Computer,$51.99,1,Apple,3 wolf moon echo food truck. Gluten-free ramps lumbersexual goth. Phlogiston ugh xoxo letterpress kinfolk direct trade. Stumptown narwhal cardigan.,,other,burgundy,,shop,
26,Aerodynamic Linen Lamp,$16.99,5,Samsung,Paleo brooklyn church-key. Lomo selfies semiotics. Fashion axe tattooed meggings goth. Goth tofu truffaut muggle magic pop-up cliche.,,other,amaranth,,shop,
27,Heavy Duty Silk Bottle,$9.99,3,Nikon,Iphone dreamcatcher fingerstache. Typewriter vinyl chartreuse dreamcatcher vhs swag.,,other,purple,,shop,
28,Incredible Bronze Clock,$77.99,14,Nikon,Pug microdosing biodiesel distillery. Readymade pug selfies art party keffiyeh. Blue bottle cronut hashtag church-key flexitarian artisan flannel cardigan. Heirloom helvetica roof taxidermy tumblr health cardigan.,,other,pear,,shop,
29,Heavy Duty Linen Knife,$63.99,2,Samsung,Banh mi fashion axe vhs pickled cred neutra. Single-origin coffee tilde pbr&b leggings hella chartreuse helvetica.,,other,indigo,,shop,
30,sneakers,$20,3,nike,super chaussure,42,shoe,bleu,,shop,
31,Chelsea Boots,$30.99,5,Adidas,Artisan deep v chillwave twee raw denim. Skateboard letterpress try-hard truffaut goth typewriter humblebrag messenger bag.,40,shoe,ochre,,shop,
32,Military Boots,$25.99,15,Adidas,Pop-up helvetica chicharrones pickled. Fixie ennui dreamcatcher. Lo-fi cornhole 8-bit leggings occupy.,42,shoe,burgundy,,shop,
33,Stiletto,$50.99,8,H&M,Put a bird on it lumbersexual you probably haven't heard of them listicle wolf +1 yolo cornhole. Kinfolk waistcoat viral typewriter truffaut selfies park pop-up.,39,shoe,gray,,shop,
34,Moccasin,$64.99,3,Louis Vuitton,Hashtag waistcoat echo sustainable truffaut vegan. Shoreditch pabst hammock knausgaard hella. Green juice humblebrag church-key skateboard meggings butcher chartreuse before they sold out. Everyday roof chartreuse meditation polaroid chia etsy locavore.,44,shoe,lime,,shop,
35,Ballerina,$29.99,9,H&M,Poutine cred direct trade street pbr&b leggings kombucha. Pitchfork photo booth sustainable sartorial locavore. Blue bottle typewriter chambray distillery heirloom whatever.,44,shoe,carmine,,shop,
36,Ankle boots,$52.99,13,Uniqlo,Brunch mustache venmo diy pinterest. Kinfolk roof cray food truck leggings synth next level.,45,shoe,sapphire,,shop,
37,Flip-Flop,$70.99,11,Nike,Salvia cold-pressed truffaut blog biodiesel bushwick. Flexitarian freegan knausgaard meditation fixie 90's authentic. Five dollar toast hammock butcher. Flexitarian health sriracha.,40,shoe,taupe,,shop,
38,Rain boots,$40.99,13,Adidas,Seitan 8-bit +1 pour-over quinoa. Ramps pop-up artisan cray cred pitchfork keffiyeh actually.,43,shoe,sangria,,shop,
39,Poster - Inglourious Basterds,$15.99,14,AllPosters,Frankly my dear I don’t give a damn.,A0,poster,azure,,shop,
40,Poster - The Princess Bride,$18.99,3,AllPosters,You talking to me?,A2,poster,fuchsia,,shop,
41,Poster - Beauty and the Beast,$9.99,15,AllPosters,What we've got here is failure to communicate.,A0,poster,violet,,shop,
42,Poster - The Departed,$16.99,11,AllPosters,I love the smell of napalm in the morning.,A1,poster,amethyst,,shop,
43,Poster - The Godfather,$14.99,4,AllPosters,All right Mr. DeMille I'm ready for my closeup.,A2,poster,salmon,,shop,
44,Poster - The Big Lebowski,$14.99,14,AllPosters,Toto I've got a feeling we're not in Kansas anymore.,A0,poster,sky,,shop,
45,Poster - Cinema Paradiso,$9.99,4,AllPosters,Go ahead make my day.,A2,poster,viridian,,shop,
46,Poster - The Green Mile,$19.99,9,AllPosters,Greetings programs!,A2,poster,viridian,,shop,
47,Poster - Platoon,$23.99,10,AllPosters,What we've got here is failure to communicate.,A1,poster,amaranth,,shop,
48,Poster - The Good the Bad and the Ugly,$13.99,8,AllPosters,Here's looking at you kid.,A2,poster,taupe,,shop,
49,Aerodynamic Cotton Hard Drive,$110.99,23,Seagate, Navigating the protocol won't do anything we need to index the wireless jbod sensor!,2.5,hard drive,apricot,1TB,shop,
50,Fantastic Wool Hard Drive,$110.99,14,Apple,Compressing the firewall won't do anything we need to connect the bluetooth http sensor!,3.5,hard drive,cerulean,1TB,shop,
51,Heavy Duty Linen Hard Drive,$117.99,19,Western Digital,You can't calculate the sensor without compressing the neural AI matrix!,3.5,hard drive,silver,2TB,shop,
52,Lightweight Bronze Hard Drive,$108.99,22,Samsung,Try to input the SMS hard drive maybe it will connect the solid state alarm!,2.5,hard drive,azure,4TB,shop,
53,Aerodynamic Plastic Hard Drive,$114.99,16,Apple,If we program the microchip we can get to the SQL bandwidth through the online RSS pixel!,2.5,hard drive,plum,2TB,shop,
54,Fantastic car,$20.00,1,Apple,Paleo dreamcatcher cardigan locavore taxidermy butcher. Semiotics kickstarter mustache. Irony gentrify distillery 3 wolf moon gastropub.,,other,azure,,user,0656458752
55,Incredible computer,$10.00,2,Vinci,You probably haven't heard of them carry humblebrag schlitz. Offal paleo mumblecore godard.,,other,fuchsia,,user,0423569871
56,Amazing house,$30.00,1,Renault,Fingerstache williamsburg polaroid pour-over fixie etsy blue bottle. Tousled lomo shabby chic keytar paleo leggings wolf intelligentsia.,,other,violet,,user,0678985696
57,Flu Game Sneakers,$15.00,1,Nike,Worn by Mickael Jordan during Game 5 of the 1997 Finals,46,shoe,black,,user,0699040569
